"Guid","Name","SBQQ__BorderColor__c","SBQQ__BottomMargin__c","SBQQ__ColumnHeaderHidden__c","SBQQ__ConditionalPrintField__c","SBQQ__Content__c","SBQQ__DisplayOrder__c","SBQQ__FilterField__c","SBQQ__FilterOperator__c","SBQQ__FilterValue__c","SBQQ__GroupField__c","SBQQ__KeepTogether__c","SBQQ__KeepWithNext__c","SBQQ__KeepWithPrevious__c","SBQQ__PageBreak__c","SBQQ__QuoteTotalsPrinted__c","SBQQ__RollUpField__c","SBQQ__SummaryDisplay__c","SBQQ__Template__c","SBQQ__TopMargin__c"
d43e51c0-3c59-408a-9c18-0463bf2726b3,Lines,"#N/A",0.0,false,"#N/A",43ae730d-dc92-4856-9f91-05f409e2d9b4,20.0,"#N/A","#N/A","#N/A","#N/A",Auto,Auto,"#N/A","#N/A",false,"#N/A","#N/A",a82af9d8-4745-40af-bceb-25a062112796,0.0
ea932ba0-632b-4648-b459-acfe87d4b09c,Bottom,"#N/A",0.0,false,"#N/A",203a5478-0518-41c1-9981-3a733b8466b2,30.0,"#N/A","#N/A","#N/A","#N/A",Auto,Auto,"#N/A","#N/A",false,"#N/A","#N/A",a82af9d8-4745-40af-bceb-25a062112796,0.0
ff0930c0-7751-4ab3-a23a-bc46d5bcb33b,Top,"#N/A",0.0,false,"#N/A",ed5d89b8-5377-441b-bd22-90bf9a8c93aa,10.0,"#N/A","#N/A","#N/A","#N/A",Auto,Auto,"#N/A","#N/A",false,"#N/A","#N/A",a82af9d8-4745-40af-bceb-25a062112796,0.0
