"Guid","SBQQ__IsRead__c","SBQQ__JobDetails__c","SBQQ__JobId__c","SBQQ__JobStatus__c","SBQQ__RecordId__c","SBQQ__RedirectUrl__c","SBQQ__Stacktrace__c"
04568fe1-605e-44a8-892d-c961280529fa,true,"#N/A",7075f00000W53H6,"#N/A",a344x0000000vW7AAI::QuoteDocumentService,"#N/A","#N/A"
2f3b419d-446e-444c-bd40-d1cfc0f29c90,false,"#N/A",7075f00000VbSk7,Completed,a344x0000000vWHAAY::QuoteCalculator,"#N/A","#N/A"
454d12ba-174b-40ff-9ad5-be598510df04,false,"#N/A",7075f00000VbSk6,Completed,a344x0000000vWCAAY::QuoteCalculator,"#N/A","#N/A"
4f5981df-6627-4ac4-9681-c2f22b94456a,false,"#N/A","#N/A",Completed,a344x0000000vWRAAY::QuoteCalculator,"#N/A","#N/A"
564a9531-bbb6-4ff7-9483-7c6b7d68c492,false,"#N/A","#N/A",Completed,a344x0000000vW7AAI::QuoteCalculator,"#N/A","#N/A"
73268648-4728-4df2-96e7-a89c830d7b75,false,"#N/A","#N/A",Completed,a344x0000000vWMAAY::QuoteCalculator,"#N/A","#N/A"
7b913704-7a40-4948-9394-1b106e6507cc,false,"#N/A",7075f00000W53H5,"#N/A",a344x0000000vWWAAY::QuoteCalculator,"#N/A","#N/A"
e126bd69-cd16-4c70-b747-d4188d089536,false,"#N/A",7075f00000VbSk5,"#N/A",a344x0000000vMeAAI::QuoteCalculator,"#N/A","#N/A"
